0.1367172,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_..mg.,Vit_B12_.µg.,Vit_A_IU,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_..µg.,Vit_E_.mg.,Vit_D_IU,Vit_K_.µg.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.
Energ_Kcal,1.000,0.535,0.806,0.491,0.386,0.283,-0.191,0.277,0.427,0.436,0.560,0.372,0.308,0.209,0.299,0.248,0.205,-0.304,0.447,0.319,0.312,0.339,0.272,0.377,0.131,0.361,0.384,0.316,0.065,-0.101,0.171,-0.079,-0.151,-0.139,-0.088,-0.160,0.155,0.038,-0.157,0.759,0.652,0.221
Protein_.g.,0.535,1.000,0.271,0.526,0.026,0.067,-0.445,0.222,0.499,0.454,0.859,0.446,0.240,0.313,0.337,0.144,0.668,-0.406,0.477,0.504,0.653,0.477,0.609,0.309,-0.016,0.313,0.303,0.654,0.373,-0.164,0.115,-0.105,-0.198,-0.216,-0.116,-0.174,0.066,0.220,-0.168,0.278,0.379,0.265
Lipid_Tot_.g.,0.806,0.271,1.000,0.261,-0.143,-0.100,-0.222,0.218,0.074,0.067,0.233,0.023,0.419,0.098,0.048,0.001,0.103,-0.206,0.096,0.222,0.187,0.164,0.041,0.005,-0.026,0.009,0.003,0.170,0.069,-0.030,0.229,-0.049,-0.096,-0.089,-0.052,-0.089,0.218,0.057,-0.086,0.952,0.674,0.298
Ash_.g.,0.491,0.526,0.261,1.000,0.276,0.381,-0.207,0.666,0.561,0.642,0.660,0.566,0.600,0.184,0.428,0.287,0.203,-0.214,0.421,0.456,0.106,0.341,0.262,0.551,-0.037,0.559,0.539,0.278,0.093,0.038,0.071,-0.027,0.026,-0.150,-0.105,0.053,0.147,0.012,0.086,0.181,0.285,0.064
Carbohydrt_.g.,0.386,0.026,-0.143,0.276,1.000,0.745,0.263,0.087,0.455,0.553,0.264,0.465,-0.209,0.070,0.340,0.445,-0.170,-0.020,0.500,-0.010,-0.084,0.134,0.101,0.569,0.283,0.532,0.587,-0.054,-0.231,-0.045,-0.102,-0.013,-0.016,-0.006,-0.022,-0.061,-0.048,-0.160,-0.059,-0.162,0.033,-0.216
Fiber_TD_.g.,0.283,0.067,-0.100,0.381,0.745,1.000,0.266,0.191,0.545,0.665,0.280,0.643,-0.239,0.056,0.412,0.423,-0.234,0.036,0.508,0.067,-0.116,0.114,0.065,0.679,-0.018,0.686,0.667,-0.003,-0.259,0.092,-0.111,0.006,0.134,-0.013,-0.044,0.041,0.055,-0.148,0.066,-0.100,0.138,-0.234
Sugar_Tot_.g.,-0.191,-0.445,-0.222,-0.207,0.263,0.266,1.000,-0.059,-0.072,0.024,-0.356,0.022,-0.281,-0.173,0.015,0.147,-0.485,0.266,-0.071,-0.193,-0.387,-0.260,-0.307,0.098,-0.052,0.106,0.092,-0.349,-0.312,0.010,-0.130,0.036,0.041,0.278,0.097,-0.085,-0.043,-0.196,-0.096,-0.239,-0.070,-0.262
Calcium_.mg.,0.277,0.222,0.218,0.666,0.087,0.191,-0.059,1.000,0.255,0.307,0.370,0.235,0.552,0.112,0.198,0.108,-0.014,-0.063,0.104,0.362,-0.158,0.116,0.053,0.245,-0.016,0.249,0.240,0.016,-0.023,0.237,0.045,0.012,0.243,-0.050,-0.054,0.164,0.060,-0.078,0.189,0.128,0.130,0.038
Iron_.mg.,0.427,0.499,0.074,0.561,0.455,0.545,-0.072,0.255,1.000,0.708,0.593,0.695,-0.039,0.349,0.616,0.325,0.204,-0.126,0.622,0.539,0.157,0.474,0.326,0.756,0.105,0.746,0.754,0.469,0.262,0.073,0.217,-0.032,0.017,-0.096,-0.069,0.044,0.106,-0.083,0.068,0.062,0.357,0.160
Magnesium_.mg.,0.436,0.454,0.067,0.642,0.553,0.665,0.024,0.307,0.708,1.000,0.631,0.834,-0.040,0.183,0.668,0.346,0.085,-0.119,0.605,0.379,0.151,0.274,0.238,0.637,-0.012,0.643,0.626,0.279,-0.037,0.023,-0.050,-0.036,0.046,-0.088,-0.056,0.052,0.176,-0.028,0.088,0.041,0.466,-0.099
Phosphorus_.mg.,0.560,0.859,0.233,0.660,0.264,0.280,-0.356,0.370,0.593,0.631,1.000,0.522,0.286,0.289,0.393,0.244,0.559,-0.360,0.596,0.527,0.463,0.507,0.495,0.416,-0.009,0.419,0.408,0.582,0.278,-0.129,0.142,-0.086,-0.171,-0.203,-0.114,-0.141,0.101,0.216,-0.139,0.214,0.397,0.234
Potassium_.mg.,0.372,0.446,0.023,0.566,0.465,0.643,0.022,0.235,0.695,0.834,0.522,1.000,-0.170,0.150,0.617,0.280,0.023,-0.066,0.587,0.347,0.136,0.242,0.324,0.673,-0.048,0.684,0.658,0.294,-0.064,-0.006,-0.071,0.001,0.017,-0.080,-0.069,0.049,0.123,-0.016,0.086,0.011,0.394,-0.116
Sodium_.mg.,0.308,0.240,0.419,0.600,-0.209,-0.239,-0.281,0.552,-0.039,-0.040,0.286,-0.170,1.000,0.070,-0.039,-0.051,0.237,-0.199,-0.116,0.228,-0.044,0.145,-0.024,-0.054,-0.030,-0.050,-0.056,0.103,0.213,-0.009,0.170,-0.036,-0.056,-0.100,-0.057,-0.019,0.045,-0.013,-0.016,0.291,0.027,0.229
Zinc_.mg.,0.209,0.313,0.098,0.184,0.070,0.056,-0.173,0.112,0.349,0.183,0.289,0.150,0.070,1.000,0.606,0.082,0.184,-0.170,0.166,0.207,0.199,0.153,0.169,0.135,-0.004,0.137,0.133,0.249,0.258,-0.072,0.027,-0.040,-0.081,-0.091,-0.049,-0.069,0.000,-0.033,-0.066,0.100,0.118,0.082
Copper_mg.,0.299,0.337,0.048,0.428,0.340,0.412,0.015,0.198,0.616,0.668,0.393,0.617,-0.039,0.606,1.000,0.246,0.127,-0.112,0.378,0.366,0.076,0.250,0.130,0.481,0.006,0.483,0.474,0.278,0.118,-0.010,0.009,-0.025,-0.009,-0.083,-0.048,-0.024,0.165,-0.083,0.006,0.028,0.389,-0.011
Manganese_.mg.,0.248,0.144,0.001,0.287,0.445,0.423,0.147,0.108,0.325,0.346,0.244,0.280,-0.051,0.082,0.246,1.000,-0.029,-0.042,0.330,0.098,-0.014,0.173,0.157,0.463,0.029,0.462,0.459,0.101,-0.035,0.048,-0.033,-0.007,0.064,-0.047,-0.029,0.010,0.067,-0.065,0.022,-0.016,0.176,-0.083
Selenium_.µg.,0.205,0.668,0.103,0.203,-0.170,-0.234,-0.485,-0.014,0.204,0.085,0.559,0.023,0.237,0.184,0.127,-0.029,1.000,-0.337,0.182,0.307,0.538,0.370,0.449,-0.056,0.016,-0.059,-0.054,0.567,0.551,-0.124,0.211,-0.087,-0.187,-0.167,-0.087,-0.153,0.050,0.217,-0.172,0.116,0.115,0.408
Vit_C_.mg.,-0.304,-0.406,-0.206,-0.214,-0.020,0.036,0.266,-0.063,-0.126,-0.119,-0.360,-0.066,-0.199,-0.170,-0.112,-0.042,-0.337,1.000,-0.139,-0.165,-0.279,-0.220,-0.102,-0.039,-0.037,-0.034,-0.042,-0.287,-0.186,0.082,-0.053,-0.011,0.099,0.329,0.033,0.158,0.035,-0.145,0.166,-0.208,-0.162,-0.186
Thiamin_.mg.,0.447,0.477,0.096,0.421,0.500,0.508,-0.071,0.104,0.622,0.605,0.596,0.587,-0.116,0.166,0.378,0.330,0.182,-0.139,1.000,0.349,0.267,0.404,0.387,0.580,0.149,0.562,0.585,0.307,-0.022,-0.071,0.031,-0.044,-0.080,-0.093,-0.062,-0.045,0.075,0.031,-0.037,0.104,0.333,-0.002
Riboflavin_.mg.,0.319,0.504,0.222,0.456,-0.010,0.067,-0.193,0.362,0.539,0.379,0.527,0.347,0.228,0.207,0.366,0.098,0.307,-0.165,0.349,1.000,0.342,0.696,0.422,0.422,-0.035,0.430,0.412,0.585,0.330,0.171,0.555,-0.025,0.017,-0.098,-0.077,0.011,0.043,0.016,0.020,0.177,0.319,0.414
Niacin_.mg.,0.312,0.653,0.187,0.106,-0.084,-0.116,-0.387,-0.158,0.157,0.151,0.463,0.136,-0.044,0.199,0.076,-0.014,0.538,-0.279,0.267,0.342,1.000,0.398,0.668,0.044,0.048,0.038,0.048,0.386,0.293,-0.068,0.182,-0.059,-0.121,-0.142,-0.084,-0.131,0.103,0.289,-0.137,0.253,0.278,0.092
Panto_Acid_mg.,0.339,0.477,0.164,0.341,0.134,0.114,-0.260,0.116,0.474,0.274,0.507,0.242,0.145,0.153,0.250,0.173,0.370,-0.220,0.404,0.696,0.398,1.000,0.428,0.503,0.048,0.499,0.499,0.589,0.352,0.059,0.576,-0.058,-0.106,-0.111,-0.074,-0.089,0.161,0.056,-0.093,0.191,0.254,0.412
Vit_B6_.mg.,0.272,0.609,0.041,0.262,0.101,0.065,-0.307,0.053,0.326,0.238,0.495,0.324,-0.024,0.169,0.130,0.157,0.449,-0.102,0.387,0.422,0.668,0.428,1.000,0.230,-0.016,0.233,0.225,0.411,0.240,0.021,0.183,-0.053,-0.025,-0.121,-0.098,-0.058,0.027,0.106,-0.066,0.056,0.151,0.120
Folate_Tot_.µg.,0.377,0.309,0.005,0.551,0.569,0.679,0.098,0.245,0.756,0.637,0.416,0.673,-0.054,0.135,0.481,0.463,-0.056,-0.039,0.580,0.422,0.044,0.503,0.230,1.000,0.113,0.990,0.995,0.307,0.016,0.097,0.271,-0.032,0.025,-0.047,-0.042,0.046,0.087,-0.097,0.068,-0.012,0.223,0.008
Folic_Acid_.µg.,0.131,-0.016,-0.026,-0.037,0.283,-0.018,-0.052,-0.016,0.105,-0.012,-0.009,-0.048,-0.030,-0.004,0.006,0.029,0.016,-0.037,0.149,-0.035,0.048,0.048,-0.016,0.113,1.000,-0.027,0.208,-0.051,-0.028,-0.022,-0.012,-0.008,-0.019,-0.017,-0.009,-0.017,-0.037,-0.019,-0.019,-0.025,-0.021,-0.026
Food_Folate_.µg.,0.361,0.313,0.009,0.559,0.532,0.686,0.106,0.249,0.746,0.643,0.419,0.684,-0.050,0.137,0.483,0.462,-0.059,-0.034,0.562,0.430,0.038,0.499,0.233,0.990,-0.027,1.000,0.972,0.316,0.020,0.101,0.275,-0.031,0.028,-0.044,-0.041,0.048,0.092,-0.095,0.071,-0.009,0.227,0.012
Folate_DFE_.µg.,0.384,0.303,0.003,0.539,0.587,0.667,0.092,0.240,0.754,0.626,0.408,0.658,-0.056,0.133,0.474,0.459,-0.054,-0.042,0.585,0.412,0.048,0.499,0.225,0.995,0.208,0.972,1.000,0.298,0.013,0.094,0.266,-0.032,0.023,-0.048,-0.042,0.043,0.082,-0.098,0.066,-0.015,0.217,0.005
Choline_Tot_..mg.,0.316,0.654,0.170,0.278,-0.054,-0.003,-0.349,0.016,0.469,0.279,0.582,0.294,0.103,0.249,0.278,0.101,0.567,-0.287,0.307,0.585,0.386,0.589,0.411,0.307,-0.051,0.316,0.298,1.000,0.404,-0.075,0.276,-0.080,-0.155,-0.150,-0.092,-0.087,0.097,0.178,-0.103,0.188,0.276,0.760
Vit_B12_.µg.,0.065,0.373,0.069,0.093,-0.231,-0.259,-0.312,-0.023,0.262,-0.037,0.278,-0.064,0.213,0.258,0.118,-0.035,0.551,-0.186,-0.022,0.330,0.293,0.352,0.240,0.016,-0.028,0.020,0.013,0.404,1.000,0.015,0.440,-0.050,-0.114,-0.095,-0.049,-0.096,0.046,0.179,-0.110,0.079,0.058,0.303
Vit_A_IU,-0.101,-0.164,-0.030,0.038,-0.045,0.092,0.010,0.237,0.073,0.023,-0.129,-0.006,-0.009,-0.072,-0.010,0.048,-0.124,0.082,-0.071,0.171,-0.068,0.059,0.021,0.097,-0.022,0.101,0.094,-0.075,0.015,1.000,0.244,0.471,0.953,0.069,-0.005,0.428,0.197,-0.039,0.433,-0.055,-0.046,-0.007
Retinol_.µg.,0.171,0.115,0.229,0.071,-0.102,-0.111,-0.130,0.045,0.217,-0.050,0.142,-0.071,0.170,0.027,0.009,-0.033,0.211,-0.053,0.031,0.555,0.182,0.576,0.183,0.271,-0.012,0.275,0.266,0.276,0.440,0.244,1.000,-0.020,-0.044,-0.031,-0.016,-0.040,0.096,0.133,-0.047,0.179,0.071,0.319
Alpha_Carot_.µg.,-0.079,-0.105,-0.049,-0.027,-0.013,0.006,0.036,0.012,-0.032,-0.036,-0.086,0.001,-0.036,-0.040,-0.025,-0.007,-0.087,-0.011,-0.044,-0.025,-0.059,-0.058,-0.053,-0.032,-0.008,-0.031,-0.032,-0.080,-0.050,0.471,-0.020,1.000,0.403,-0.001,-0.007,0.074,0.040,-0.035,0.028,-0.050,-0.040,-0.046
Beta_Carot_.µg.,-0.151,-0.198,-0.096,0.026,-0.016,0.134,0.041,0.243,0.017,0.046,-0.171,0.017,-0.056,-0.081,-0.009,0.064,-0.187,0.099,-0.080,0.017,-0.121,-0.106,-0.025,0.025,-0.019,0.028,0.023,-0.155,-0.114,0.953,-0.044,0.403,1.000,0.063,-0.005,0.468,0.176,-0.078,0.480,-0.107,-0.066,-0.100
Beta_Crypt_.µg.,-0.139,-0.216,-0.089,-0.150,-0.006,-0.013,0.278,-0.050,-0.096,-0.088,-0.203,-0.080,-0.100,-0.091,-0.083,-0.047,-0.167,0.329,-0.093,-0.098,-0.142,-0.111,-0.121,-0.047,-0.017,-0.044,-0.048,-0.150,-0.095,0.069,-0.031,-0.001,0.063,1.000,0.229,0.037,0.117,-0.069,0.059,-0.086,-0.080,-0.070
Lycopene_.µg.,-0.088,-0.116,-0.052,-0.105,-0.022,-0.044,0.097,-0.054,-0.069,-0.056,-0.114,-0.069,-0.057,-0.049,-0.048,-0.029,-0.087,0.033,-0.062,-0.077,-0.084,-0.074,-0.098,-0.042,-0.009,-0.041,-0.042,-0.092,-0.049,-0.005,-0.016,-0.007,-0.005,0.229,1.000,-0.027,-0.053,-0.035,-0.032,-0.052,-0.046,-0.045
Lut.Zea_..µg.,-0.160,-0.174,-0.089,0.053,-0.061,0.041,-0.085,0.164,0.044,0.052,-0.141,0.049,-0.019,-0.069,-0.024,0.010,-0.153,0.158,-0.045,0.011,-0.131,-0.089,-0.058,0.046,-0.017,0.048,0.043,-0.087,-0.096,0.428,-0.040,0.074,0.468,0.037,-0.027,1.000,0.249,-0.067,0.889,-0.091,-0.068,-0.060
Vit_E_.mg.,0.155,0.066,0.218,0.147,-0.048,0.055,-0.043,0.060,0.106,0.176,0.101,0.123,0.045,0.000,0.165,0.067,0.050,0.035,0.075,0.043,0.103,0.161,0.027,0.087,-0.037,0.092,0.082,0.097,0.046,0.197,0.096,0.040,0.176,0.117,-0.053,0.249,1.000,0.127,0.261,0.265,0.349,0.095
Vit_D_IU,0.038,0.220,0.057,0.012,-0.160,-0.148,-0.196,-0.078,-0.083,-0.028,0.216,-0.016,-0.013,-0.033,-0.083,-0.065,0.217,-0.145,0.031,0.016,0.289,0.056,0.106,-0.097,-0.019,-0.095,-0.098,0.178,0.179,-0.039,0.133,-0.035,-0.078,-0.069,-0.035,-0.067,0.127,1.000,-0.076,0.083,0.090,0.092
Vit_K_.µg.,-0.157,-0.168,-0.086,0.086,-0.059,0.066,-0.096,0.189,0.068,0.088,-0.139,0.086,-0.016,-0.066,0.006,0.022,-0.172,0.166,-0.037,0.020,-0.137,-0.093,-0.066,0.068,-0.019,0.071,0.066,-0.103,-0.110,0.433,-0.047,0.028,0.480,0.059,-0.032,0.889,0.261,-0.076,1.000,-0.094,-0.046,-0.098
FA_Mono_.g.,0.759,0.278,0.952,0.181,-0.162,-0.100,-0.239,0.128,0.062,0.041,0.214,0.011,0.291,0.100,0.028,-0.016,0.116,-0.208,0.104,0.177,0.253,0.191,0.056,-0.012,-0.025,-0.009,-0.015,0.188,0.079,-0.055,0.179,-0.050,-0.107,-0.086,-0.052,-0.091,0.265,0.083,-0.094,1.000,0.738,0.295
FA_Poly_.g.,0.652,0.379,0.674,0.285,0.033,0.138,-0.070,0.130,0.357,0.466,0.397,0.394,0.027,0.118,0.389,0.176,0.115,-0.162,0.333,0.319,0.278,0.254,0.151,0.223,-0.021,0.227,0.217,0.276,0.058,-0.046,0.071,-0.040,-0.066,-0.080,-0.046,-0.068,0.349,0.090,-0.046,0.738,1.000,0.121
Cholestrl_.mg.,0.221,0.265,0.298,0.064,-0.216,-0.234,-0.262,0.038,0.160,-0.099,0.234,-0.116,0.229,0.082,-0.011,-0.083,0.408,-0.186,-0.002,0.414,0.092,0.412,0.120,0.008,-0.026,0.012,0.005,0.760,0.303,-0.007,0.319,-0.046,-0.100,-0.070,-0.045,-0.060,0.095,0.092,-0.098,0.295,0.121,1.000
